model,history_bucket,num_users,recall@20,ndcg@20,mrr@20
SASRec,21+,395,0.0,0.0,0.0
SASRec,6-10,395,0.002531645569620253,0.000706184672534506,0.00023014959723820485
SASRec,11-20,408,0.0,0.0,0.0
SASRec,1-5,483,0.0,0.0,0.0
SASRec + metadata,21+,395,0.0,0.0,0.0
SASRec + metadata,6-10,395,0.0,0.0,0.0
SASRec + metadata,11-20,408,0.0,0.0,0.0
SASRec + metadata,1-5,483,0.004140786749482402,0.001594695971899213,0.0008626639061421669
DIF-SR,21+,395,0.005063291139240506,0.0015607465125309112,0.0005977496483825597
DIF-SR,6-10,395,0.015189873417721518,0.004298441276373448,0.001481048115448711
DIF-SR,11-20,408,0.004901960784313725,0.001256493958424494,0.0003519356460532931
DIF-SR,1-5,483,0.006211180124223602,0.0024252713507786684,0.0013802622498274672
DIF-SR + metadata,21+,395,0.007594936708860759,0.0030153042341149678,0.001740506329113924
DIF-SR + metadata,6-10,395,0.007594936708860759,0.002780791060345676,0.00154132539091586
DIF-SR + metadata,11-20,408,0.004901960784313725,0.0013708406390813914,0.0004493464052287582
DIF-SR + metadata,1-5,483,0.012422360248447204,0.00522017961463307,0.003322270937360451
