slice,model,users,recall20,ndcg20,mrr20
history<=8 & 1 switch,Corrected SASRec,104,0.0,0.0,0.0
history<=8 & 1 switch,DIF-SR,104,0.009615384615384616,0.0024611348539405335,0.0006868131868131868
history<=8 & 1 switch,DIF-SR + Metadata,104,0.019230769230769232,0.011804521622086088,0.010096153846153847
history<=8 & 2 switches,Corrected SASRec,100,0.02,0.01,0.006666666666666666
history<=8 & 2 switches,DIF-SR,100,0.01,0.006309297535714575,0.005
history<=8 & 2 switches,DIF-SR + Metadata,100,0.01,0.0023981246656813145,0.000588235294117647
history<=8 & 1-2 switches,Corrected SASRec,204,0.00980392156862745,0.004901960784313725,0.00326797385620915
history<=8 & 1-2 switches,DIF-SR,204,0.00980392156862745,0.004347489109712123,0.0028011204481792717
history<=8 & 1-2 switches,DIF-SR + Metadata,204,0.014705882352941176,0.007193542721887669,0.005435409457900808
history<=8 & 1-2 switches & non-repeat,Corrected SASRec,204,0.00980392156862745,0.004901960784313725,0.00326797385620915
history<=8 & 1-2 switches & non-repeat,DIF-SR,204,0.00980392156862745,0.004347489109712123,0.0028011204481792717
history<=8 & 1-2 switches & non-repeat,DIF-SR + Metadata,204,0.014705882352941176,0.007193542721887669,0.005435409457900808
history<=8 & 1-2 switches & low price variance,Corrected SASRec,103,0.0,0.0,0.0
history<=8 & 1-2 switches & low price variance,DIF-SR,103,0.0,0.0,0.0
history<=8 & 1-2 switches & low price variance,DIF-SR + Metadata,103,0.009708737864077669,0.009708737864077669,0.009708737864077669
history<=8 & 1-2 switches & high price variance,Corrected SASRec,101,0.019801980198019802,0.009900990099009901,0.0066006600660066
history<=8 & 1-2 switches & high price variance,DIF-SR,101,0.019801980198019802,0.008781067112685871,0.005657708628005657
history<=8 & 1-2 switches & high price variance,DIF-SR + Metadata,101,0.019801980198019802,0.004628541735297866,0.0010774606872451951
history<=8 & 1-2 switches & dense sequence,Corrected SASRec,102,0.00980392156862745,0.004901960784313725,0.00326797385620915
history<=8 & 1-2 switches & dense sequence,DIF-SR,102,0.00980392156862745,0.006185585819328015,0.004901960784313725
history<=8 & 1-2 switches & dense sequence,DIF-SR + Metadata,102,0.0196078431372549,0.012035982830362285,0.010294117647058823
history<=8 & 1-2 switches & sparse sequence,Corrected SASRec,102,0.00980392156862745,0.004901960784313725,0.00326797385620915
history<=8 & 1-2 switches & sparse sequence,DIF-SR,102,0.00980392156862745,0.0025093924000962305,0.0007002801120448179
history<=8 & 1-2 switches & sparse sequence,DIF-SR + Metadata,102,0.00980392156862745,0.0023511026134130537,0.0005767012687427913
